sc_gid,res_gids,gen_gids,gid_counts,n_gids,mean_cf,mean_lcoe,mean_res,capacity,area_sq_km,latitude,longitude,country,state,county,elevation,timezone,reeds_region,slope,sc_point_gid,sc_row_ind,sc_col_ind,res_class
0,[5],[5],[134.0],203,0.17948578,129.67236,4.152,34.1901,1.0854,41.422,-71.874,United States,Connecticut,Washington,35.76,-5,6.0,1.8720324,176,11,0,2
1,[5],[5],[562.5],927,0.17948578,129.67236,4.152,143.521875,4.5562499999999995,41.422,-71.805,United States,Connecticut,Washington,35.76,-5,6.0,1.7532516,177,11,1,2
2,"[5, 4, 3]","[5, 4, 3]","[3.5, 175.5, 13.5]",245,0.17845032,130.425,4.1456175,49.116375,1.55925,41.37,-71.874,United States,Connecticut,Washington,25.461052,-5,6.0,2.1671128,192,12,0,2
3,"[5, 4, 3]","[5, 4, 3]","[148.0, 1105.5, 128.0]",1549,0.17853475,130.36374,4.145994,352.48972499999996,11.19015,41.371,-71.805,United States,Connecticut,Washington,25.461052,-5,6.0,2.4028783,193,12,1,2
4,"[3, 0, 1]","[3, 0, 1]","[151.0, 605.0, 10.5]",1515,0.17246047,134.98938,4.044177,195.572475,6.20865,41.319,-71.873,None,None,None,5.0877194,-5,6.0,0.3702061,208,13,0,2
5,"[3, 1]","[3, 1]","[827.5, 378.0]",2024,0.17588907,132.37225,4.1004314,307.583325,9.76455,41.319,-71.805,None,None,None,7.631579,-5,6.0,0.74386394,209,13,1,2
6,"[0, 1, 2]","[0, 1, 2]","[782.0, 14.0, 147.5]",1887,0.1721544,135.22285,4.040155,240.73402499999997,7.6423499999999995,41.267,-71.873,None,None,None,0.0,-5,6.0,0.0,224,14,0,2
7,"[1, 2]","[1, 2]","[504.0, 648.0]",2304,0.17493567,133.09987,4.088,293.9328,9.331199999999999,41.267,-71.804,None,None,None,0.0,-5,6.0,0.0,225,14,1,2
8,[2],[2],[47.0],94,0.17800757,130.7523,4.1440015,11.992049999999999,0.3807,41.215,-71.873,None,None,None,0.0,-5,6.0,0.0,240,15,0,2
9,"[2, 7]","[2, 7]","[401.5, 15.0]",833,0.17817949,130.62935,4.144505,106.269975,3.37365,41.215,-71.804,None,None,None,0.0,-5,6.0,0.0,241,15,1,2
10,[7],[7],[4.5],9,0.18277998,127.33735,4.158,1.148175,0.036449999999999996,41.215,-71.736,None,None,None,0.0,-5,41.0,0.0,242,15,2,2
11,"[7, 6]","[7, 6]","[843.0, 272.5]",2231,0.18320858,127.04239,4.1658173,284.619825,9.035549999999999,41.163,-71.804,None,None,None,0.0,-5,41.0,0.0,257,16,1,2
12,"[7, 6]","[7, 6]","[216.0, 72.0]",576,0.18321861,127.035484,4.1660004,73.4832,2.3327999999999998,41.163,-71.735,None,None,None,0.0,-5,41.0,0.0,258,16,2,2
13,"[6, 8]","[6, 8]","[605.5, 539.0]",2289,0.18411496,126.41716,4.182465,292.019175,9.27045,41.111,-71.804,None,None,None,0.0,-5,41.0,0.0,273,17,1,2
14,"[6, 8]","[6, 8]","[153.0, 135.0]",576,0.18411691,126.41581,4.1825,73.4832,2.3327999999999998,41.111,-71.735,None,None,None,0.0,-5,41.0,0.0,274,17,2,2
15,[8],[8],[330.5],661,0.1836437,126.73986,4.174,84.327075,2.67705,41.059,-71.803,None,None,None,0.0,-5,41.0,0.0,289,18,1,2
16,[8],[8],[85.5],171,0.1836437,126.73986,4.1740003,21.815325,0.69255,41.06,-71.735,None,None,None,0.0,-5,41.0,0.0,290,18,2,2
17,[9],[9],[892.5],1785,0.18531467,125.59876,4.2060003,227.721375,7.2292499999999995,41.008,-71.803,None,None,None,0.0,-5,41.0,0.0,305,19,1,2
18,[9],[9],[202.5],405,0.18531469,125.59876,4.2060003,51.667875,1.64025,41.008,-71.735,None,None,None,0.0,-5,41.0,0.0,306,19,2,2
