sc_gid,res_gids,gen_gids,gid_counts,n_gids,mean_cf,mean_lcoe,mean_res,capacity,area_sq_km,latitude,longitude,country,state,county,elevation,timezone,reeds_region,slope,sc_point_gid,sc_row_ind,sc_col_ind,res_class,trans_gid,trans_capacity,trans_type,trans_cap_cost_per_mw,dist_km,lcot,total_lcoe
0,[5],[5],[134.0],203,0.17948578,129.67236,4.152,34.1901,1.0854,41.422,-71.874,United States,Connecticut,Washington,35.76,-5,6.0,1.8720324,176,11,0,2,47919,50.0,TransLine,39277.934,39.07793413019025,2.398201738658005,132.070561738658
1,[5],[5],[562.5],927,0.17948578,129.67236,4.152,143.521875,4.55625,41.422,-71.805,United States,Connecticut,Washington,35.76,-5,6.0,1.7532516,177,11,1,2,68927,1357.5,Substation,39764.69,39.71469106875978,2.427921827383575,132.10028182738358
2,"[5, 4, 3]","[5, 4, 3]","[3.5, 175.5, 13.5]",245,0.17845032,130.425,4.1456175,49.116375,1.55925,41.37,-71.874,United States,Connecticut,Washington,25.461052,-5,6.0,2.1671128,192,12,0,2,68927,1357.5,Substation,47907.54,47.8575389885398,2.942074622935141,133.36707462293515
3,"[5, 4, 3]","[5, 4, 3]","[148.0, 1105.5, 128.0]",1549,0.17853475,130.36374,4.145994,352.489725,11.19015,41.371,-71.805,United States,Connecticut,Washington,25.461052,-5,6.0,2.4028783,193,12,1,2,68927,1357.5,Substation,44134.473,44.08447289325873,2.70908286185841,133.0728228618584
4,"[3, 0, 1]","[3, 0, 1]","[151.0, 605.0, 10.5]",1515,0.17246047,134.98938,4.044177,195.572475,6.20865,41.319,-71.873,None,None,None,5.0877194,-5,6.0,0.3702061,208,13,0,2,68927,1357.5,Substation,52231.25,52.1812511519203,3.3190056977690023,138.308385697769
5,"[3, 1]","[3, 1]","[827.5, 378.0]",2024,0.17588907,132.37225,4.1004314,307.583325,9.76455,41.319,-71.805,None,None,None,7.631579,-5,6.0,0.74386394,209,13,1,2,68927,1357.5,Substation,48794.023,48.74402203364665,3.040149134373443,135.41239913437346
6,"[0, 1, 2]","[0, 1, 2]","[782.0, 14.0, 147.5]",1887,0.1721544,135.22285,4.040155,240.734025,7.642349999999999,41.267,-71.873,None,None,None,0.0,-5,6.0,0.0,224,14,0,2,43423,390.0,TransLine,58092.79,57.89278746955415,3.698036766886295,138.9208867668863
7,"[1, 2]","[1, 2]","[504.0, 648.0]",2304,0.17493567,133.09987,4.088,293.9328,9.3312,41.267,-71.804,None,None,None,0.0,-5,6.0,0.0,225,14,1,2,68927,1357.5,Substation,53667.848,53.6178467294942,3.3620403747893266,136.46191037478934
8,[2],[2],[47.0],94,0.17800757,130.7523,4.1440015,11.99205,0.3807,41.215,-71.873,None,None,None,0.0,-5,6.0,0.0,240,15,0,2,68947,107.5,Substation,54541.594,54.491592867943595,3.357812898737997,134.11011289873798
9,"[2, 7]","[2, 7]","[401.5, 15.0]",833,0.17817949,130.62935,4.144505,106.269975,3.37365,41.215,-71.804,None,None,None,0.0,-5,6.0,0.0,241,15,1,2,68927,1357.5,Substation,58702.555,58.65255460718793,3.6104922903467864,134.2398422903468
10,[7],[7],[4.5],9,0.18277998,127.33735,4.158,1.148175,0.0364499999999999,41.215,-71.736,None,None,None,0.0,-5,41.0,0.0,242,15,2,2,80851,28.0,LoadCen,18910.572,18.900572666693378,1.1338175317415171,128.47116753174151
11,"[7, 6]","[7, 6]","[843.0, 272.5]",2231,0.18320858,127.04239,4.1658173,284.619825,9.03555,41.163,-71.804,None,None,None,0.0,-5,41.0,0.0,257,16,1,2,68927,1357.5,Substation,63860.074,63.81007527139843,3.8198891079510093,130.862279107951
12,"[7, 6]","[7, 6]","[216.0, 72.0]",576,0.18321861,127.035484,4.1660004,73.4832,2.3328,41.163,-71.735,None,None,None,0.0,-5,41.0,0.0,258,16,2,2,68927,1357.5,Substation,61622.535,61.57253680439939,3.6858451874353526,130.72132918743534
13,"[6, 8]","[6, 8]","[605.5, 539.0]",2289,0.18411496,126.41716,4.182465,292.019175,9.27045,41.111,-71.804,None,None,None,0.0,-5,41.0,0.0,273,17,1,2,68927,1357.5,Substation,69112.9,69.06289973990823,4.11374307349959,130.5309030734996
14,"[6, 8]","[6, 8]","[153.0, 135.0]",576,0.18411691,126.41581,4.1825,73.4832,2.3328,41.111,-71.735,None,None,None,0.0,-5,41.0,0.0,274,17,2,2,47922,105.0,TransLine,59234.57,59.03457046535791,3.5257272646565623,129.94153726465655
15,[8],[8],[330.5],661,0.1836437,126.73986,4.174,84.327075,2.67705,41.059,-71.803,None,None,None,0.0,-5,41.0,0.0,289,18,1,2,68927,1357.5,Substation,74440.84,74.39084221178338,4.4422438749118704,131.18210387491186
16,[8],[8],[85.5],171,0.1836437,126.73986,4.1740003,21.815325,0.69255,41.06,-71.735,None,None,None,0.0,-5,41.0,0.0,290,18,2,2,80851,28.0,LoadCen,35636.742,35.62674314772913,2.126616019994441,128.86647601999442
17,[9],[9],[892.5],1785,0.18531467,125.59876,4.2060003,227.721375,7.229249999999999,41.008,-71.803,None,None,None,0.0,-5,41.0,0.0,305,19,1,2,68927,1357.5,Substation,79828.85,79.77885408817932,4.720817504218716,130.31957750421873
18,[9],[9],[202.5],405,0.18531469,125.59876,4.2060003,51.667875,1.64025,41.008,-71.735,None,None,None,0.0,-5,41.0,0.0,306,19,2,2,47843,60.0,TransLine,44031.92,43.83192249659135,2.6039036853366224,128.20266368533663
